Vivado Simulator 2017.4
Time resolution is 1 ps
Time: 0 | state: 0 | speed_left: 0 | speed_right: 0 | IN1: 0 | IN2: 0 | IN3: 0 | IN4: 0 | ENA: x | ENB: x
Time: 5000 | state: 0 | speed_left: 0 | speed_right: 0 | IN1: 0 | IN2: 0 | IN3: 0 | IN4: 0 | ENA: 0 | ENB: 0
Time: 50000 | state: 1 | speed_left: 10 | speed_right: 10 | IN1: 0 | IN2: 0 | IN3: 0 | IN4: 0 | ENA: 0 | ENB: 0
Time: 55000 | state: 1 | speed_left: 10 | speed_right: 10 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 115000 | state: 1 | speed_left: 10 | speed_right: 10 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 1015000 | state: 1 | speed_left: 10 | speed_right: 10 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 1050000 | state: 1 | speed_left: 50 | speed_right: 50 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 1515000 | state: 1 | speed_left: 50 | speed_right: 50 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 2015000 | state: 1 | speed_left: 50 | speed_right: 50 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 2050000 | state: 1 | speed_left: 90 | speed_right: 90 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 2915000 | state: 1 | speed_left: 90 | speed_right: 90 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 3015000 | state: 1 | speed_left: 90 | speed_right: 90 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 3050000 | state: 1 | speed_left: 80 | speed_right: 20 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 3215000 | state: 1 | speed_left: 80 | speed_right: 20 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 0
Time: 3815000 | state: 1 | speed_left: 80 | speed_right: 20 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 4015000 | state: 1 | speed_left: 80 | speed_right: 20 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 4050000 | state: 1 | speed_left: 20 | speed_right: 80 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 4215000 | state: 1 | speed_left: 20 | speed_right: 80 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 1
Time: 4815000 | state: 1 | speed_left: 20 | speed_right: 80 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 5015000 | state: 1 | speed_left: 20 | speed_right: 80 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 5050000 | state: 2 | speed_left: 10 | speed_right: 10 | IN1: 1 | IN2: 0 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 5055000 | state: 2 | speed_left: 10 | speed_right: 10 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 5115000 | state: 2 | speed_left: 10 | speed_right: 10 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 0 | ENB: 0
Time: 6015000 | state: 2 | speed_left: 10 | speed_right: 10 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 6050000 | state: 2 | speed_left: 90 | speed_right: 30 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 6315000 | state: 2 | speed_left: 90 | speed_right: 30 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 0
Time: 6915000 | state: 2 | speed_left: 90 | speed_right: 30 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 0 | ENB: 0
Time: 7015000 | state: 2 | speed_left: 90 | speed_right: 30 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 7050000 | state: 3 | speed_left: 15 | speed_right: 15 | IN1: 0 | IN2: 1 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 7055000 | state: 3 | speed_left: 15 | speed_right: 15 | IN1: 0 | IN2: 1 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 7165000 | state: 3 | speed_left: 15 | speed_right: 15 | IN1: 0 | IN2: 1 | IN3: 1 | IN4: 0 | ENA: 0 | ENB: 0
Time: 8015000 | state: 3 | speed_left: 15 | speed_right: 15 | IN1: 0 | IN2: 1 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 8050000 | state: 4 | speed_left: 100 | speed_right: 100 | IN1: 0 | IN2: 1 | IN3: 1 | IN4: 0 | ENA: 1 | ENB: 1
Time: 8055000 | state: 4 | speed_left: 100 | speed_right: 100 | IN1: 1 | IN2: 0 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 9050000 | state: 0 | speed_left: 0 | speed_right: 0 | IN1: 1 | IN2: 0 | IN3: 0 | IN4: 1 | ENA: 1 | ENB: 1
Time: 9055000 | state: 0 | speed_left: 0 | speed_right: 0 | IN1: 0 | IN2: 0 | IN3: 0 | IN4: 0 | ENA: 0 | ENB: 0
$finish called at time : 9100 ns : File "D:/Github/Verilog/legendary-spork/Sources/framwork.v" Line 162
